saved_at,beneficiary,nic,district,livelihood,grant_rs,total_mark,system_decision,critical_findings,reviewer_decision,approver_decision,saved_by,role,folder,file_sha1,prepared_by,verified_by,failed_checks,partial_checks,C1_score,C2_score,C3_score,C4_score,C5_score,C6_score,C7_score,C8_score,C9_score
2026-07-23T00:00:00,Demo beneficiary 01,,Nuwara Eliya,Poultry,110000,64.1,Approve with conditions,,Approve with conditions,,Demo,approver,,demo0000,T.Raj - CDC - 2026.05.01,,C3.2;C4.3;C9.2,,10.58,9.26,9.1,10.65,6.19,7.78,4.87,2.31,3.37
2026-07-19T00:00:00,Demo beneficiary 02,,Ratnapura,Vegetable cultivation,110000,66.5,Approve with conditions,,Approve with conditions,Approve with conditions,Demo,approver,,demo0001,S.Kumar - CDC - 2026.05.01,,C3.2;C2.2;C2.3,,9.33,10.04,11.88,14.51,7.35,4.91,4.22,1.42,2.87
2026-03-19T00:00:00,Demo beneficiary 03,,Nuwara Eliya,Grocery shop,95900,51.0,Revise and resubmit,,Revise and resubmit,Revise and resubmit,Demo,approver,,demo0002,N.Fernando - CDC - 2026.05.01,,C4.4;C8.2;C7.2;C5.2,,7.66,7.96,5.63,12.17,4.55,5.08,4.08,1.55,2.29
2026-08-26T00:00:00,Demo beneficiary 04,,Ratnapura,Vegetable cultivation,45000,80.4,Revise and resubmit,C2.4,Revise and resubmit,,Demo,approver,,demo0003,N.Fernando - CDC - 2026.05.01,,C2.2;C7.2;C2.4,,13.31,14.2,12.26,15.76,6.18,8.48,4.9,2.16,3.11
2026-03-21T00:00:00,Demo beneficiary 05,,Badulla,Tailoring,95900,36.5,Not recommended,,Not recommended,Revise and resubmit,Demo,approver,,demo0004,S.Kumar - CDC - 2026.05.01,,C3.1;C4.3;C4.4;C3.3;C2.3,,1.68,6.85,4.88,5.59,5.31,5.46,3.03,1.33,2.33
2026-05-07T00:00:00,Demo beneficiary 06,,Monaragala,Vegetable cultivation,60000,77.9,Approve,,Approve,Approve,Demo,approver,,demo0005,N.Fernando - CDC - 2026.05.01,,C4.3;C3.1,,8.71,11.64,13.8,12.81,9.91,8.64,5.46,2.51,4.38
2026-08-10T00:00:00,Demo beneficiary 07,,Kandy,Vegetable cultivation,60000,63.9,Approve with conditions,,Approve with conditions,Approve with conditions,Demo,approver,,demo0006,S.Kumar - CDC - 2026.05.01,,C2.3;C8.2;C5.5;C2.2,,7.78,11.29,11.31,15.04,5.32,5.77,3.17,2.37,1.86
2026-06-30T00:00:00,Demo beneficiary 08,,Nuwara Eliya,Vegetable cultivation,95900,59.1,Revise and resubmit,,Revise and resubmit,,Demo,approver,,demo0007,R.Silva - CDC - 2026.05.01,,C5.5;C3.3;C4.4,,9.57,8.58,8.76,9.62,5.56,7.74,3.95,2.07,3.26
2026-08-12T00:00:00,Demo beneficiary 09,,Nuwara Eliya,Mushroom,75000,59.1,Revise and resubmit,,Revise and resubmit,Revise and resubmit,Demo,approver,,demo0008,S.Kumar - CDC - 2026.05.01,,C5.2;C3.3;C8.2;C3.1,,8.59,10.25,10.76,11.03,4.23,5.08,2.97,1.93,4.22
2026-03-08T00:00:00,Demo beneficiary 10,,Nuwara Eliya,Dairy,95900,56.5,Revise and resubmit,,Revise and resubmit,Revise and resubmit,Demo,approver,,demo0009,T.Raj - CDC - 2026.05.01,,C5.5;C4.3;C2.3,,10.29,7.23,8.73,10.21,4.94,6.67,2.96,1.95,3.51
